time,Fx_real,Fy_real,Fz_real,,,
7.203279,-0.785617565,0.214894036,-0.026691653,,,
7.204848,-0.900684164,0.244781638,0.062993393,,,
7.206417,-0.995502459,0.25183207,0.198450641,,,
7.207986,-0.96740749,0.316949587,0.19777896,,,
7.209555,-0.90099554,0.265012151,0.199762866,,,
7.211124,-0.903335304,0.21665998,0.158643505,,,
7.212693,-0.944948419,0.170625334,0.099419881,,,
7.214262,-0.935878495,0.218599405,0.09526969,,,
7.215831,-0.978461321,0.191131636,-0.015170759,,,
7.2174,-0.926439368,0.204476301,-0.019747979,,,
7.218969,-0.880484789,0.218603853,-0.046250484,,,
7.220538,-0.884848495,0.1153028,-0.013449297,,,
7.222107,-0.956949721,0.254069525,0.112177381,,,
7.223676,-1.016800544,0.167974194,0.206034859,,,
7.225245,-0.941020639,0.199374191,0.134556384,,,
7.226814,-0.898397778,0.156791364,0.137247558,,,
7.228383,-0.908659826,0.213933221,0.053291821,,,
7.229952,-0.953257697,0.18219071,0.083624245,,,
7.231521,-0.974991708,0.195619892,0.031024024,,,
7.23309,-0.904300569,0.21616178,-0.039529221,,,
7.234659,-0.844414159,0.249265446,-0.065013084,,,
7.236228,-0.856153017,0.221343958,-0.04483595,,,
7.237797,-0.920541026,0.246338516,0.077725903,,,
7.239366,-1.035033805,0.230956565,0.184567741,,,
7.240935,-0.931052174,0.1954731,0.156712977,,,
7.242504,-0.867002229,0.196967703,0.142558735,,,
7.244073,-0.86957775,0.148037264,0.117172734,,,
7.245642,-0.909180268,0.221170477,0.079843257,,,
7.247211,-0.942141591,0.239079018,0.06365173,,,
7.24878,-0.95922721,0.304814839,0.019583197,,,
7.250349,-0.847554604,0.226819719,-0.041437508,,,
7.251918,-0.818712334,0.234328317,-0.097569618,,,
7.253487,-0.92205787,0.204507439,0.021576001,,,
7.255056,-0.996992613,0.188302567,0.135410443,,,
7.256625,-0.972941078,0.299948484,0.200269964,,,
7.258194,-0.868866034,0.248820624,0.216746177,,,
7.259763,-0.84513922,0.197359146,0.141206476,,,
7.261332,-0.897303516,0.227402436,0.134787692,,,
7.262901,-0.895630984,0.195664374,0.048105195,,,
7.26447,-0.97879049,0.274949478,0.046988691,,,
7.266039,-0.880840647,0.240667033,0.021767274,,,
7.267608,-0.836643116,0.330819143,-0.019432156,,,
7.269177,-0.814984725,0.258820226,0.012470491,,,
7.270746,-0.912747742,0.213217057,0.10690179,,,
7.272315,-0.986490361,0.271871308,0.191275659,,,
7.273884,-0.977927535,0.32707374,0.227826697,,,
7.275453,-0.903837954,0.228590111,0.207355981,,,
7.277022,-0.85942246,0.179188161,0.162771455,,,
7.278591,-0.90967402,0.180998587,0.114325872,,,
7.28016,-0.971762299,0.20420496,0.066547522,,,
7.281729,-0.967976863,0.347268667,0.019507577,,,
7.283298,-0.874782169,0.295526952,-0.017323698,,,
7.284867,-0.832283859,0.245284287,0.008685054,,,
7.286436,-0.89161424,0.240884996,0.049150527,,,
7.288005,-1.006796494,0.239732907,0.183713682,,,
7.289574,-0.997948981,0.270501256,0.197872372,,,
7.291143,-0.866784267,0.251809829,0.201662257,,,
7.292712,-0.861481986,0.215432271,0.177205934,,,
7.294281,-0.885947206,0.24577804,0.147763154,,,
7.29585,-0.929984601,0.244354609,0.094202117,,,
7.297419,-0.99644993,0.262320976,0.016029068,,,
7.298988,-0.935108952,0.31952066,-0.008609632,,,
7.300557,-0.880209,0.297412998,-0.002150814,,,
7.302126,-0.825865075,0.206002041,0.060368942,,,
7.303695,-0.917489546,0.218941918,0.139622909,,,
7.305264,-0.99597397,0.288578829,0.179946039,,,
7.306833,-0.972772046,0.266822577,0.219833243,,,
7.308402,-0.892597297,0.220071766,0.162726972,,,
7.309971,-0.890849146,0.176897326,0.135312582,,,
7.31154,-0.847994978,0.210668226,0.119734909,,,
7.313109,-0.955557428,0.267703325,0.059795122,,,
7.314678,-0.997971222,0.228857004,0.035254282,,,
7.316247,-0.92158191,0.232375548,-0.040814757,,,
7.317816,-0.874146073,0.21661105,-0.032839096,,,
7.319385,-0.843560101,0.234951068,-0.021287064,,,
7.320954,-0.819779908,0.230600707,0.046824107,,,
7.322523,-0.962670134,0.213621845,0.156085777,,,
7.324092,-1.006231569,0.279330976,0.182766211,,,
7.325661,-0.905554967,0.23864754,0.149471272,,,
7.32723,-0.885155422,0.150070101,0.169474925,,,
7.328799,-0.914891784,0.159558158,0.099886944,,,
7.330368,-0.936011941,0.195054968,0.044124036,,,
7.331937,-0.994185785,0.189374588,0.002737782,,,
7.333506,-0.936781484,0.304063089,-0.001425754,,,
7.335075,-0.890835801,0.232838163,-0.069852749,,,
7.336644,-0.856046259,0.157729939,-0.029965545,,,
7.338213,-0.930389389,0.227598158,0.110215715,,,
7.339782,-1.062830743,0.180887381,0.159137257,,,
7.341351,-0.991481266,0.275380955,0.180626617,,,
7.34292,-0.943186923,0.209854201,0.143337174,,,
7.344489,-0.927822765,0.199939115,0.12098486,,,
7.346058,-0.941105155,0.190402128,0.081524685,,,
7.347627,-0.953533487,0.23607202,0.015268422,,,
7.349196,-0.974231062,0.187315062,-0.004085791,,,
7.350765,-0.899500937,0.217478453,-0.069910576,,,
7.352334,-0.836767666,0.218025585,-0.042874284,,,
7.353903,-0.889345647,0.191256186,0.044546618,,,
7.355472,-1.004581279,0.282244562,0.168073735,,,
7.357041,-0.993033696,0.280612064,0.194847581,,,
7.35861,-0.959707618,0.232388892,0.178976326,,,
7.360179,-0.890929214,0.252161238,0.145552388,,,
7.361748,-0.849961092,0.220734552,0.130833223,,,
7.363317,-0.936336661,0.268406144,0.10425065,,,
7.364886,-0.941256395,0.214444766,0.060337805,,,
7.366455,-0.824606228,0.293720974,-0.007399716,,,
7.368024,-0.844970187,0.280950129,-0.011758973,,,
7.369593,-0.853310603,0.236241052,0.057361944,,,
7.371162,-0.96968498,0.284842323,0.129565479,,,
7.372731,-0.973403693,0.309694538,0.195305748,,,
7.3743,-0.942675377,0.229448618,0.186262514,,,
7.375869,-0.86179781,0.260795236,0.180679995,,,
7.377438,-0.883051413,0.182978046,0.11385436,,,
7.379007,-0.93991748,0.237139593,0.104152789,,,
7.380576,-0.993554137,0.272938882,0.119623704,,,
7.382145,-0.907045121,0.29272902,0.043416769,,,
7.383714,-0.840023765,0.345782961,-0.002938149,,,
7.385283,-0.819535255,0.301496465,0.028595294,,,
7.386852,-0.96908447,0.198302169,0.098441272,,,
7.388421,-1.050553651,0.26704054,0.151295043,,,
7.38999,-0.935157883,0.354127825,0.24465432,,,
7.391559,-0.898424468,0.145630776,0.14282118,,,
7.393128,-0.897374687,0.246605409,0.140837273,,,
7.394697,-0.898531225,0.271364211,0.130962221,,,
7.396266,-0.94774635,0.200713106,0.07718322,,,
7.397835,-1.00137856,0.269647198,0.061667823,,,
7.399404,-0.882869036,0.252690576,-0.004575095,,,
7.400973,-0.815838783,0.249163137,-0.042736389,,,
7.402542,-0.855685953,0.263103863,0.007386173,,,
7.404111,-0.975098466,0.182395328,0.114984209,,,
7.40568,-1.018117218,0.202461257,0.205750173,,,
7.407249,-0.938360602,0.272311682,0.202551901,,,
7.408818,-0.931674925,0.153472991,0.201315296,,,
7.410387,-0.921808769,0.263006003,0.174350176,,,
7.411956,-0.897508134,0.226873098,0.057917972,,,
7.413525,-0.971188479,0.251200422,0.086177525,,,
7.415094,-0.993732066,0.208484149,0.001496728,,,
7.416663,-0.79535917,0.189583655,-0.036366536,,,
7.418232,-0.85149128,0.185219949,-0.002297605,,,
7.419801,-0.86645065,0.253162088,0.033154722,,,
7.42137,-0.965779441,0.26916679,0.12793743,,,
7.422939,-0.988438683,0.293996763,0.178140061,,,
7.424508,-0.95857777,0.254816826,0.167682291,,,
7.426077,-0.876387977,0.196002439,0.155156099,,,
7.427646,-0.894937062,0.225427425,0.127968568,,,
7.429215,-0.952394742,0.299574833,0.113071473,,,
7.430784,-0.969182331,0.292146303,0.042175715,,,
7.432353,-0.900212653,0.227037682,-0.062179566,,,
7.433922,-0.824094683,0.219021986,-0.079118395,,,
7.435491,-0.829276861,0.224938121,0.008306955,,,
7.43706,-0.934975506,0.250092815,0.138737713,,,
7.438629,-0.965997404,0.271533244,0.227617631,,,
7.440198,-0.922173523,0.246076071,0.166725924,,,
7.441767,-0.887988939,0.15855286,0.11072726,,,
7.443336,-0.909064614,0.187275028,0.157464726,,,
7.444905,-0.889123236,0.176025475,0.051561463,,,
7.446474,-1.009976972,0.223181073,-0.001946196,,,
7.448043,-0.923592506,0.238527438,-0.000580592,,,
7.449612,-0.854382624,0.276065982,-0.058478646,,,
7.451181,-0.845374975,0.162489536,-0.019659015,,,
7.45275,-0.944939522,0.164348893,0.082316468,,,
7.454319,-1.028330335,0.282302388,0.18346903,,,
7.455888,-0.926657331,0.273717321,0.192663505,,,
7.457457,-0.899661073,0.208719905,0.177908753,,,
7.459026,-0.896907624,0.192323759,0.121923434,,,
7.460595,-0.862892073,0.258175234,0.123951824,,,
7.462164,-0.928627893,0.200828759,0.053113893,,,
7.463733,-0.949908186,0.251872104,0.003173707,,,
7.465302,-0.923943916,0.183511832,0.006990282,,,
7.466871,-0.854796309,0.220547726,-0.030303609,,,
7.46844,-0.871468244,0.276426288,-0.004032412,,,
7.470009,-0.947604007,0.210810569,0.156739666,,,
7.471578,-0.991223269,0.258277543,0.185964483,,,
7.473147,-0.926417127,0.244568124,0.225691551,,,
7.474716,-0.85726952,0.258419886,0.168883311,,,
7.476285,-0.832813197,0.233718911,0.119579222,,,
7.477854,-0.878269575,0.237482106,0.079220506,,,
7.479423,-0.933947966,0.366689603,0.034658221,,,
7.480992,-0.902410074,0.268748657,-0.002431052,,,
7.482561,-0.890190809,0.278450228,-0.012114831,,,
7.48413,-0.812040002,0.252468165,0.018230938,,,
7.485699,-0.894336552,0.234506246,0.081053173,,,
7.487268,-1.018922346,0.33745589,0.173380463,,,
7.488837,-0.938204915,0.34858534,0.21596329,,,
7.490406,-0.880604891,0.328341483,0.203139067,,,
7.491975,-0.879568456,0.199716704,0.134930035,,,
7.493544,-0.86317231,0.249559028,0.12561101,,,
7.495113,-0.933730004,0.272796539,0.054239293,,,
7.496682,-0.9476218,0.227277886,-0.010184303,,,
7.498251,-0.879523974,0.324693941,0.017759426,,,
7.49982,-0.801177444,0.313835832,0.02000133,,,
7.501389,-0.849707543,0.217247146,0.081916128,,,
7.502958,-0.938026986,0.274767101,0.150761256,,,
7.504527,-0.980329574,0.286924091,0.181596329,,,
7.506096,-0.88698809,0.279228667,0.232199299,,,
7.507665,-0.916257389,0.191892282,0.144582676,,,
7.509234,-0.868812656,0.260225864,0.120789138,,,
7.510803,-0.957149891,0.226984303,0.088197017,,,
7.512372,-0.957643644,0.287738115,0.069198662,,,
7.513941,-0.890257533,0.271377556,-0.024254028,,,
7.51551,-0.816679497,0.273961973,-0.053051815,,,
7.517079,-0.838413508,0.186990342,0.007986683,,,
7.518648,-0.9776384,0.262534491,0.107177579,,,
7.520217,-1.012080981,0.27594588,0.220131274,,,
7.521786,-0.91130207,0.282667143,0.186404857,,,
7.523355,-0.89016412,0.1974748,0.158118615,,,
7.524924,-0.911079658,0.257570276,0.142225118,,,
7.526493,-0.902819311,0.197176769,0.071996594,,,
7.528062,-1.00447897,0.239488254,0.024881029,,,
7.529631,-0.943698468,0.269180134,0.017835046,,,
7.5312,-0.834267766,0.192915373,-0.06132106,,,
7.532769,-0.845779764,0.202616944,-0.050329504,,,
7.534338,-0.953346661,0.153384026,0.042576055,,,
7.535907,-1.009727872,0.230329366,0.147015853,,,
7.537476,-0.989217121,0.294236967,0.183322239,,,
7.539045,-0.85436928,0.251894345,0.166556891,,,
7.540614,-0.891262831,0.173948155,0.096186024,,,
7.542183,-0.904763184,0.193493642,0.066067114,,,
7.543752,-1.000195333,0.264825325,0.017634876,,,
7.545321,-0.948982956,0.177480043,-0.007226235,,,
7.54689,-0.875315956,0.231623798,-0.044128683,,,
7.548459,-0.800505763,0.229719959,-0.026504828,,,
7.550028,-0.836598634,0.244136646,0.042593848,,,
7.551597,-1.008678091,0.26356203,0.166632511,,,
7.553166,-1.021235421,0.290166844,0.175751366,,,
7.554735,-0.919953861,0.23719742,0.179487872,,,
7.556304,-0.870983388,0.222549426,0.153781598,,,
7.557873,-0.901551568,0.152214144,0.143243761,,,
7.559442,-0.932319917,0.17063423,0.059657227,,,
7.561011,-0.972674185,0.190144131,-0.013195749,,,
7.56258,-0.943458264,0.247459468,-0.033524122,,,
7.564149,-0.84658934,0.295522503,-0.060938512,,,
7.565718,-0.826123072,0.220992548,-0.045391978,,,
7.567287,-0.934895438,0.2411252,0.111919384,,,
7.568856,-1.038596831,0.29408128,0.183891611,,,
7.570425,-0.95207447,0.347522215,0.196066394,,,
7.571994,-0.862055807,0.209164727,0.183918301,,,
7.573563,-0.885475694,0.277173589,0.135521648,,,
7.575132,-0.858790812,0.229057174,0.106964065,,,
7.576701,-0.916341905,0.27779634,0.10297401,,,
7.57827,-0.971419786,0.239772941,0.019440854,,,
7.579839,-0.911093003,0.329969532,0.004290211,,,
7.581408,-0.813525708,0.265843968,-0.087165228,,,
7.582977,-0.80021218,0.28442419,0.027661168,,,
7.584546,-0.94271986,0.258953673,0.192214234,,,
7.586115,-1.049036807,0.266053034,0.222026216,,,
7.587684,-0.940678126,0.284815634,0.190363774,,,
7.589253,-0.917765336,0.161377481,0.159426392,,,
7.590822,-0.928725754,0.221108202,0.161703881,,,
7.592391,-0.795674994,0.279015153,0.099224159,,,
7.59396,-0.9294864,0.31073987,0.097284734,,,
7.595529,-0.923677022,0.2442523,0.022808158,,,
7.597098,-0.841607332,0.324987524,-0.017799658,,,
7.598667,-0.850784013,0.230413882,0.039382232,,,
7.600236,-0.919922723,0.186492141,0.116118505,,,
7.601805,-0.958382048,0.289557438,0.17026226,,,
7.603374,-0.967936829,0.297853372,0.221127675,,,
7.604943,-0.919277731,0.288694483,0.187379017,,,
7.606512,-0.883674164,0.189672619,0.102119951,,,
7.608081,-0.891378484,0.270808184,0.101176928,,,
7.60965,-0.925429622,0.198435616,0.018755828,,,
7.611219,-0.948204517,0.214346905,0.005913812,,,
7.612788,-0.891578654,0.230351607,-0.000251423,,,
7.614357,-0.824156958,0.289392854,-0.010998327,,,
7.615926,-0.83523303,0.20617997,0.039706952,,,
7.617495,-0.953391144,0.207536678,0.147193782,,,
7.619064,-0.999995163,0.332496122,0.22899658,,,
7.620633,-0.903789023,0.310535252,0.187819391,,,
7.622202,-0.847421157,0.137744079,0.118289237,,,
7.623771,-0.882277423,0.214217907,0.147078128,,,
7.62534,-0.851388971,0.220223006,0.090447818,,,
7.626909,-0.943146889,0.189926168,0.010962544,,,
7.628478,-0.960196923,0.271386452,-0.016736533,,,
7.630047,-0.886058411,0.253842666,-0.05129032,,,
7.631616,-0.833845185,0.16413093,-0.041624334,,,
7.633185,-0.865485386,0.204414026,-0.003778863,,,
7.634754,-0.965699373,0.242379598,0.127016648,,,
7.636323,-0.994532746,0.224898087,0.191493622,,,
7.637892,-0.982825027,0.22476464,0.139022399,,,
7.639461,-0.905710655,0.220578864,0.158701332,,,
7.64103,-0.899576557,0.189405726,0.103814724,,,
7.642599,-0.865743383,0.176283472,0.093748398,,,
7.644168,-0.979809132,0.230720809,0.025112337,,,
7.645737,-0.933649936,0.25468338,0.001879275,,,
7.647306,-0.90950054,0.262156392,-0.06362079,,,
7.648875,-0.862287114,0.205107949,-0.020989033,,,
7.650444,-0.887615289,0.233603257,0.047095449,,,
7.652013,-1.001894553,0.254874653,0.201924702,,,
7.653582,-0.991765952,0.2924043,0.162010809,,,
7.655151,-0.913023531,0.167129032,0.187018711,,,
